name,code,pop
Afghanistan,AFG,41128771
Albania,ALB,2842321
Algeria,DZA,44903225
Andorra,AND,79824
Angola,AGO,35588987
Antigua and Barbuda,ATG,93763
Argentina,ARG,45510318
Armenia,ARM,2780469
Aruba,ABW,106445
Australia,AUS,26177413
Austria,AUT,8939617
Azerbaijan,AZE,10358074
Bahamas,BHS,409984
Bahrain,BHR,1472233
Bangladesh,BGD,171186372
Barbados,BRB,281635
Belarus,BLR,9534954
Belgium,BEL,11655930
Belize,BLZ,405272
Benin,BEN,13352864
Bhutan,BTN,782455
Bolivia,BOL,12224110
Bosnia and Herzegovina,BIH,3233526
Botswana,BWA,2630296
Brazil,BRA,215313498
Bulgaria,BGR,6781953
Burkina Faso,BFA,22673762
Burundi,BDI,12889576
Cambodia,KHM,16767842
Cameroon,CMR,27914536
Canada,CAN,38454327
Central African Republic,CAF,5579144
Chad,TCD,17723315
Chile,CHL,19603733
China,CHN,1425887337
Colombia,COL,51874024
Comoros,COM,836774
Costa Rica,CRI,5180829
Croatia,HRV,4030358
Cuba,CUB,11212191
Cyprus,CYP,1251488
Czech Republic,CZE,10493986
Denmark,DNK,5882261
Djibouti,DJI,1120849
Dominica,DMA,72737
Dominican Republic,DOM,11228821
DR Congo,COD,99010212
Ecuador,ECU,18001000
Egypt,EGY,110990103
El Salvador,SLV,6336392
Equatorial Guinea,GNQ,1674908
Eritrea,ERI,3684032
Estonia,EST,1326062
Eswatini,SWZ,1201670
Ethiopia,ETH,123379924
Fiji,FJI,929766
Finland,FIN,5540745
France,FRA,64626628
Gabon,GAB,2388992
Gambia,GMB,2705992
Georgia,GEO,3744385
Germany,DEU,83369843
Ghana,GHA,33475870
Greece,GRC,10384971
Greenland,GRL,56466
Grenada,GRD,125438
Guatemala,GTM,17843908
Guinea,GIN,13859341
Guinea-Bissau,GNB,2105566
Guyana,GUY,808726
Haiti,HTI,11584996
Honduras,HND,10432860
Hong Kong,HKG,7488865
Hungary,HUN,9967308
Iceland,ISL,372899
India,IND,1417173173
Indonesia,IDN,275501339
Iran,IRN,88550570
Iraq,IRQ,44496122
Ireland,IRL,5023109
Israel,ISR,9038309
Italy,ITA,59037474
Ivory Coast,CIV,28160542
Jamaica,JAM,2827377
Japan,JPN,123951692
Jordan,JOR,11285869
Kazakhstan,KAZ,19397998
Kenya,KEN,54027487
Kiribati,KIR,131232
Kuwait,KWT,4268873
Kyrgyzstan,KGZ,6630623
Laos,LAO,7529475
Latvia,LVA,1850651
Lebanon,LBN,5489739
Lesotho,LSO,2305825
Liberia,LBR,5302681
Libya,LBY,6812341
Liechtenstein,LIE,39327
Lithuania,LTU,2750055
Luxembourg,LUX,647599
Madagascar,MDG,29611714
Malawi,MWI,20405317
Malaysia,MYS,33938221
Maldives,MDV,523787
Mali,MLI,22593590
Malta,MLT,533286
Marshall Islands,MHL,41569
Mauritania,MRT,4736139
Mauritius,MUS,1299469
Mexico,MEX,127504125
Micronesia,FSM,114164
Moldova,MDA,3272996
Monaco,MCO,36469
Mongolia,MNG,3398366
Montenegro,MNE,627082
Morocco,MAR,37457971
Mozambique,MOZ,32969517
Myanmar,MMR,54179306
Namibia,NAM,2567012
Nauru,NRU,12668
Nepal,NPL,30547580
Netherlands,NLD,17564014
New Zealand,NZL,5185288
Nicaragua,NIC,6948392
Niger,NER,26207977
Nigeria,NGA,218541212
North Korea,PRK,26069416
North Macedonia,MKD,2093599
Norway,NOR,5434319
Oman,OMN,4576298
Pakistan,PAK,235824862
Palau,PLW,18055
Palestine,PSE,5250072
Panama,PAN,4408581
Papua New Guinea,PNG,10142619
Paraguay,PRY,6780744
Peru,PER,34049588
Philippines,PHL,115559009
Poland,POL,39857145
Portugal,PRT,10270865
Puerto Rico,PRI,3252407
Qatar,QAT,2695122
Republic of the Congo,COG,5970424
Romania,ROU,19659267
Russia,RUS,144713314
Rwanda,RWA,13776698
Saint Kitts and Nevis,KNA,47657
Saint Lucia,LCA,179857
Saint Vincent and the Grenadines,VCT,103948
Samoa,WSM,222382
San Marino,SMR,33660
Sao Tome and Principe,STP,227380
Saudi Arabia,SAU,36408820
Senegal,SEN,17316449
Serbia,SRB,7221365
Seychelles,SYC,107118
Sierra Leone,SLE,8605718
Singapore,SGP,5975689
Slovakia,SVK,5643453
Slovenia,SVN,2119844
Solomon Islands,SLB,724273
Somalia,SOM,17597511
South Africa,ZAF,59893885
South Korea,KOR,51815810
South Sudan,SDS,10913164
Spain,ESP,47558630
Sri Lanka,LKA,21832143
Sudan,SDN,46874204
Suriname,SUR,618040
Sweden,SWE,10549347
Switzerland,CHE,8740472
Syria,SYR,22125249
Taiwan,TWN,23893394
Tajikistan,TJK,9952787
Tanzania,TZA,65497748
Thailand,THA,71697030
East Timor,TLS,1341296
Togo,TGO,8848699
Tonga,TON,106858
Trinidad and Tobago,TTO,1531044
Tunisia,TUN,12356117
Turkey,TUR,85341241
Turkmenistan,TKM,6430770
Tuvalu,TUV,11312
Uganda,UGA,47249585
Ukraine,UKR,39701739
United Arab Emirates,ARE,9441129
United Kingdom,GBR,67508936
United States,USA,338289857
Uruguay,URY,3422794
Uzbekistan,UZB,34627652
Vanuatu,VUT,326740
Venezuela,VEN,28301696
Vietnam,VNM,98186856
Vanuatu,VUT,326740
Yemen,YEM,33696614
Zambia,ZMB,20017675
Zimbabwe,ZWE,16320537
Antarctica,ATA,0
