year,country,continent,population
1970,Bangladesh,Asia,67541860
1970,Japan,Asia,105416839
1970,Nigeria,Africa,55569264
1970,Ethiopia,Africa,28308246
1970,Brazil,South America,96369875
1970,Argentina,South America,23842803
1970,Russia,Europe,130093010
1970,Germany,Europe,78294583
1970,Mexico,North America,50289306
1970,Canada,North America,21434577
1970,Australia,Oceania,12595034
1970,PapuaNewGuinea,Oceania,2489059
1980,Bangladesh,Asia,83929765
1980,Japan,Asia,117624196
1980,Nigeria,Africa,72951439
1980,Ethiopia,Africa,34945469
1980,Brazil,South America,122288383
1980,Argentina,South America,28024803
1980,Russia,Europe,138257420
1980,Germany,Europe,77786703
1980,Mexico,North America,67705186
1980,Canada,North America,24511510
1980,Australia,Oceania,14706322
1980,PapuaNewGuinea,Oceania,3104788
1990,Bangladesh,Asia,107147651
1990,Japan,Asia,123686321
1990,Nigeria,Africa,95214257
1990,Ethiopia,Africa,47878073
1990,Brazil,South America,150706446
1990,Argentina,South America,32637657
1990,Russia,Europe,148005704
1990,Germany,Europe,79370196
1990,Mexico,North America,81720428
1990,Canada,North America,27657204
1990,Australia,Oceania,17048003
1990,PapuaNewGuinea,Oceania,3864972
2000,Bangladesh,Asia,129193327
2000,Japan,Asia,126803861
2000,Nigeria,Africa,122851984
2000,Ethiopia,Africa,67031867
2000,Brazil,South America,175873720
2000,Argentina,South America,37070774
2000,Russia,Europe,146844839
2000,Germany,Europe,81551677
2000,Mexico,North America,97873442
2000,Canada,North America,30683313
2000,Australia,Oceania,19017963
2000,PapuaNewGuinea,Oceania,5508297
2010,Bangladesh,Asia,148391139
2010,Japan,Asia,128105431
2010,Nigeria,Africa,160952853
2010,Ethiopia,Africa,89237791
2010,Brazil,South America,196353492
2010,Argentina,South America,41100123
2010,Russia,Europe,143242599
2010,Germany,Europe,81325090
2010,Mexico,North America,112532401
2010,Canada,North America,33963412
2010,Australia,Oceania,22019168
2010,PapuaNewGuinea,Oceania,7583269
2015,Bangladesh,Asia,157830000
2015,Japan,Asia,127250933
2015,Nigeria,Africa,183995785
2015,Ethiopia,Africa,102471895
2015,Brazil,South America,205188205
2015,Argentina,South America,43257065
2015,Russia,Europe,144668389
2015,Germany,Europe,82073226
2015,Mexico,North America,120149897
2015,Canada,North America,35732126
2015,Australia,Oceania,23820236
2015,PapuaNewGuinea,Oceania,8682174
2020,Bangladesh,Asia,167420951
2020,Japan,Asia,125244761
2020,Nigeria,Africa,208327405
2020,Ethiopia,Africa,117190911
2020,Brazil,South America,213196304
2020,Argentina,South America,45036032
2020,Russia,Europe,145617329
2020,Germany,Europe,83328988
2020,Mexico,North America,125998302
2020,Canada,North America,37888705
2020,Australia,Oceania,25670051
2020,PapuaNewGuinea,Oceania,9749640
2022,Bangladesh,Asia,171186372
2022,Japan,Asia,123951692
2022,Nigeria,Africa,218541212
2022,Ethiopia,Africa,123379924
2022,Brazil,South America,215313498
2022,Argentina,South America,45510318
2022,Russia,Europe,144713314
2022,Germany,Europe,83369843
2022,Mexico,North America,127504125
2022,Canada,North America,38454327
2022,Australia,Oceania,26177413
2022,PapuaNewGuinea,Oceania,10142619
